"question" "group" "Questionnaire no." "value" "label" "group_label" "display" "non_strat_cutpoints" "stratified" "person_type" "type"
"s_34" "2" "17f" "6" "Ved ikke/ikke relevant" "Ved ikke/ikke relevant" "0" "1" "1" "pat" "no_cutpoints"
"s_35" "0" "17g" "1" "Ja, og jeg tog imod tilbuddet" "Ja, fik tilbuddet" "0" "1" "1" "pat" "no_cutpoints"
"s_35" "3" "17g" "4" "Ja, men jeg tog ikke imod tilbuddet" "Ja, men jeg tog ikke imod tilbuddet" "0" "1" "1" "pat" "no_cutpoints"
"s_35" "1" "17g" "5" "Nej" "Rådgivning om arbejdsmarkedstilknytning" "1" "1" "1" "pat" "no_cutpoints"
"s_35" "2" "17g" "6" "Ved ikke/ikke relevant" "Ved ikke/ikke relevant" "0" "1" "1" "pat" "no_cutpoints"
"s_45" "1" "17.3" "1" "0-2 uger" "0-2 uger" "0" NA "0" "pat" "no_cutpoints"
"s_45" "2" "17.3" "2" "3-5 uger" "3-5 uger" "0" NA "0" "pat" "no_cutpoints"
"s_45" "3" "17.3" "3" "6-8 uger" "6-8 uger" "0" NA "0" "pat" "no_cutpoints"
"s_45" "4" "17.3" "4" "9 eller flere uger" "9 eller flere uger" "0" NA "0" "pat" "no_cutpoints"
"s_45" "5" "17.3" "5" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_45" "6" "17.3" "6" "Jeg har ikke modtaget fysisk træning" "Jeg har ikke modtaget fysisk træning" "0" NA "0" "pat" "no_cutpoints"
"s_47" "1" "18" "1" "Ja, og jeg ryger stadig dagligt" "Ja, og jeg ryger stadig dagligt" "1" "1" "1" "pat" "no_cutpoints"
"s_47" "2" "18" "4" "Ja, og jeg ryger stadig lejlighedsvist" "Ja, og jeg ryger stadig lejlighedsvist" "2" "1" "1" "pat" "no_cutpoints"
"s_47" "3" "18" "2" "Ja, men jeg er holdt op" "Ja, men jeg er holdt op" "3" "1" "1" "pat" "no_cutpoints"
"s_47" "4" "18" "3" "Nej" "Nej" "4" "1" "1" "pat" "no_cutpoints"
"s_49" "1" "19" "1" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_49" "2" "19" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_49" "3" "19" "3" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_49" "4" "19" "4" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_49" "5" "19" "5" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_52" "0" "14a" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_52" "1" "14a" "3" "I mindre grad" "Undersøgelser og behandlingsforløb" "1" "1" "1" "pat" "no_cutpoints"
"s_52" "2" "14a" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_53" "0" "14b" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_53" "1" "14b" "3" "I mindre grad" "Betydning for din fremtid" "1" "1" "1" "pat" "no_cutpoints"
"s_53" "2" "14b" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_54" "0" "14d" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_54" "1" "14d" "3" "I mindre grad" "Dine følelsesmæssige reaktioner" "1" "1" "1" "pat" "no_cutpoints"
"s_54" "2" "14d" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_56" "0" "14f" "1" "Ja, i høj grad" "I nogen grad/i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_56" "1" "14f" "3" "I mindre grad" "Betydning for dit forhold til familie, venner m.fl." "1" "1" "1" "pat" "no_cutpoints"
"s_56" "2" "14f" "4" "Ved ikke" "" "0" "1" "1" "pat" "no_cutpoints"
"s_66" "1" "15.2.1" "1" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_66" "2" "15.2.1" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_66" "3" "15.2.1" "3" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_66" "5" "15.2.1" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_66" "4" "15.2.1" "4" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_68" "1" "16" "1" "Ja, i høj grad" "Ja, i høj grad" "0" "1" "1" "pat" "no_cutpoints"
"s_68" "2" "16" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" "1" "1" "pat" "no_cutpoints"
"s_68" "3" "16" "3" "I mindre grad" "I mindre grad" "1" "1" "1" "pat" "no_cutpoints"
"s_68" "4" "16" "5" "Nej, slet ikke" "Nej, slet ikke" "1" "1" "1" "pat" "no_cutpoints"
"s_68" "5" "16" "4" "Ved ikke" "Ved ikke" "0" "1" "1" "pat" "no_cutpoints"
"s_68" "6" "16" "6" "Jeg har ikke været i medicinsk behandling for min hjertesygdom" "Jeg har ikke været i medicinsk behandling for min hjertesygdom" "0" "1" "1" "pat" "no_cutpoints"
"s_7" "1" "2" "1" "Ja, på alle afdelinger" "Ja, på alle afdelinger" "0" NA "0" "pat" "no_cutpoints"
"s_7" "2" "2" "2" "Ja, på nogle afdelinger" "Ja, på nogle afdelinger" "0" NA "0" "pat" "no_cutpoints"
"s_7" "3" "2" "3" "Nej, på ingen afdelinger" "Nej, på ingen afdelinger" "0" NA "0" "pat" "no_cutpoints"
"s_70" "1" "16.2" "1" "Ja" "Ja" "0" NA "0" "pat" "no_cutpoints"
"s_70" "2" "16.2" "2" "Nej" "Nej" "0" NA "0" "pat" "no_cutpoints"
"s_72" "1" "16.2.1" "1" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_72" "2" "16.2.1" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_72" "3" "16.2.1" "3" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_72" "4" "16.2.1" "4" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_72" "5" "16.2.1" "5" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_72" "6" "16.2.1" "6" "Jeg har ikke henvendt mig til en læge på grund af bivirkninger" "Jeg har ikke henvendt mig til en læge på grund af bivirkninger" "0" NA "0" "pat" "no_cutpoints"
"s_81_1" "0" "20.1a" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_1" "1" "20.1a" "1" "Valgt" "Ja, jeg blev fyret" "0" NA "0" "pat" "no_cutpoints"
"s_81_10" "0" "20.1j" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_10" "1" "20.1j" "1" "Valgt" "Nej, min arbejdssituation er den samme" "0" NA "0" "pat" "no_cutpoints"
"s_81_11" "0" "20.1k" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_11" "1" "20.1k" "1" "Valgt" "Andet ? skriv venligst" "0" NA "0" "pat" "no_cutpoints"
"s_81_2" "0" "20.1b" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_2" "1" "20.1b" "1" "Valgt" "Ja, jeg har måttet stoppe med at arbejde i en periode" "0" NA "0" "pat" "no_cutpoints"
"s_81_3" "0" "20.1c" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_3" "1" "20.1c" "1" "Valgt" "Ja, jeg er holdt op med at arbejde pga. min hjertesygdom" "0" NA "0" "pat" "no_cutpoints"
"s_81_4" "0" "20.1d" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_4" "1" "20.1d" "1" "Valgt" "Ja, jeg har skiftet arbejde/karrierevej" "0" NA "0" "pat" "no_cutpoints"
"s_81_5" "0" "20.1e" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_5" "1" "20.1e" "1" "Valgt" "Ja, jeg har valgt at gå ned i tid" "0" NA "0" "pat" "no_cutpoints"
"s_81_6" "0" "20.1f" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_6" "1" "20.1f" "1" "Valgt" "Ja, jeg er kommet i fleksjob" "0" NA "0" "pat" "no_cutpoints"
"s_81_7" "0" "20.1g" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_7" "1" "20.1g" "1" "Valgt" "Ja, den fysiske indretning af arbejdspladsen er blevet ændret/jeg har fået hjælpemidler" "0" NA "0" "pat" "no_cutpoints"
"s_81_8" "0" "20.1h" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_8" "1" "20.1h" "1" "Valgt" "Ja, jeg har fået andre arbejdsopgaver end tidligere" "0" NA "0" "pat" "no_cutpoints"
"s_81_9" "0" "20.1i" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_81_9" "1" "20.1i" "1" "Valgt" "Jeg er holdt op med at arbejde, men ikke pga. min hjertesygdom" "0" NA "0" "pat" "no_cutpoints"
"s_84_1" "0" "20.2.2a" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_1" "1" "20.2.2a" "1" "Valgt" "For at komme tilbage til den hverdag jeg havde, før jeg blev syg" "0" NA "0" "pat" "no_cutpoints"
"s_84_2" "0" "20.2.2b" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_2" "1" "20.2.2b" "1" "Valgt" "Jeg følte mig fysisk klar til at vende tilbage til arbejdet" "0" NA "0" "pat" "no_cutpoints"
"s_84_3" "0" "20.2.2c" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_3" "1" "20.2.2c" "1" "Valgt" "Jeg følte mig psykisk klar til at vende tilbage til arbejdet" "0" NA "0" "pat" "no_cutpoints"
"s_84_4" "0" "20.2.2d" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_4" "1" "20.2.2d" "1" "Valgt" "Jeg havde behov for at føle, at jeg kunne bidrage og være til nytte" "0" NA "0" "pat" "no_cutpoints"
"s_84_5" "0" "20.2.2e" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_5" "1" "20.2.2e" "1" "Valgt" "For at få tankerne væk fra min hjertesygdom" "0" NA "0" "pat" "no_cutpoints"
"s_84_6" "0" "20.2.2f" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_6" "1" "20.2.2f" "1" "Valgt" "Jeg var bange for at miste mit arbejde" "0" NA "0" "pat" "no_cutpoints"
"s_84_7" "0" "20.2.2g" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_7" "1" "20.2.2g" "1" "Valgt" "Jeg følte, at jeg var nødt til det" "0" NA "0" "pat" "no_cutpoints"
"s_84_8" "0" "20.2.2h" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_84_8" "1" "20.2.2h" "1" "Valgt" "Andet - skriv gerne:" "0" NA "0" "pat" "no_cutpoints"
"s_85_1" "0" "20.2.3a" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_1" "1" "20.2.3a" "1" "Valgt" "Ja, jeg har følt mig presset af jobcenteret (kommunen)" "0" NA "0" "pat" "no_cutpoints"
"s_85_2" "0" "20.2.3b" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_2" "1" "20.2.3b" "1" "Valgt" "Ja, jeg har følt mig presset af min arbejdsgiver" "0" NA "0" "pat" "no_cutpoints"
"s_85_3" "0" "20.2.3c" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_3" "1" "20.2.3c" "1" "Valgt" "Ja, jeg har følt mig presset af mine kolleger" "0" NA "0" "pat" "no_cutpoints"
"s_85_4" "0" "20.2.3d" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_4" "1" "20.2.3d" "1" "Valgt" "Ja, jeg har følt mig presset af mine pårørende" "0" NA "0" "pat" "no_cutpoints"
"s_85_5" "0" "20.2.3e" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_5" "1" "20.2.3e" "1" "Valgt" "Ja, jeg har følt mig presset af økonomiske årsager" "0" NA "0" "pat" "no_cutpoints"
"s_85_6" "0" "20.2.3f" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_6" "1" "20.2.3f" "1" "Valgt" "Ja, jeg har følt mig presset af andre årsager, skriv gerne:" "0" NA "0" "pat" "no_cutpoints"
"s_85_7" "0" "20.2.3g" "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"s_85_7" "1" "20.2.3g" "1" "Valgt" "Nej, jeg har ikke følt mig presset" "0" NA "0" "pat" "no_cutpoints"
"s_87" "1" "20.2.4" "1" "Ja, og jeg fik professionel rådgivning" "Ja, og jeg fik professionel rådgivning" "0" NA "0" "pat" "no_cutpoints"
"s_87" "2" "20.2.4" "2" "Ja, men jeg fik ikke professionel rådgivning" "Ja, men jeg fik ikke professionel rådgivning" "0" NA "0" "pat" "no_cutpoints"
"s_87" "4" "20.2.4" "4" "Nej" "Nej" "0" NA "0" "pat" "no_cutpoints"
"s_89" "2" "20.2.5" "2" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_89" "3" "20.2.5" "3" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_89" "4" "20.2.5" "4" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_89" "5" "20.2.5" "5" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_89" "6" "20.2.5" "6" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_9" "4" "3" "4" "Ja, i høj grad" "Ja, i høj grad" "0" NA "0" "pat" "no_cutpoints"
"s_9" "5" "3" "5" "Ja, i nogen grad" "Ja, i nogen grad" "0" NA "0" "pat" "no_cutpoints"
"s_9" "6" "3" "6" "I mindre grad" "I mindre grad" "0" NA "0" "pat" "no_cutpoints"
"s_9" "7" "3" "7" "Nej, slet ikke" "Nej, slet ikke" "0" NA "0" "pat" "no_cutpoints"
"s_9" "8" "3" "8" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_9" "9" "3" "9" "Jeg har ikke været indlagt på grund af min hjertesygdom" "Jeg har ikke været indlagt på grund af min hjertesygdom" "0" NA "0" "pat" "no_cutpoints"
"s_94" "2" "21" "2" "Ja, den er dårligere end før" "Ja, den er dårligere end før" "0" NA "0" "pat" "no_cutpoints"
"s_94" "3" "21" "3" "Ja, den er bedre end før" "Ja, den er bedre end før" "0" NA "0" "pat" "no_cutpoints"
"s_94" "4" "21" "4" "Nej, den er ikke ændret" "Nej, den er ikke ændret" "0" NA "0" "pat" "no_cutpoints"
"s_94" "5" "21" "5" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "no_cutpoints"
"s_95" "1" "22a" "1" "Ja" "Sygedagpenge" "1" "1" "1" "pat" "no_cutpoints"
"s_95" "0" "22a" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_95" "2" "22a" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_96" "1" "22b" "1" "Ja" "Fleksjob" "1" "1" "1" "pat" "no_cutpoints"
"s_96" "0" "22b" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_96" "2" "22b" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_97" "1" "22c" "1" "Ja" "Førtidspension" "1" "1" "1" "pat" "no_cutpoints"
"s_97" "0" "22c" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_97" "2" "22c" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_98" "1" "22d" "1" "Ja" "Hjælpemidler" "1" "1" "1" "pat" "no_cutpoints"
"s_98" "0" "22d" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_98" "2" "22d" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"s_99" "1" "22e" "1" "Ja" "Hjemmehjælp" "1" "1" "1" "pat" "no_cutpoints"
"s_99" "0" "22e" "2" "Nej" "Nej" "0" "1" "1" "pat" "no_cutpoints"
"s_99" "2" "22e" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "2" "1" "1" "pat" "no_cutpoints"
"stato_1" "0" NA "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"stato_1" "1" NA "1" "Valgt" "Ny" "0" NA "0" "pat" "no_cutpoints"
"stato_2" "0" NA "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"stato_2" "1" NA "1" "Valgt" "Distribueret" "0" NA "0" "pat" "no_cutpoints"
"stato_3" "0" NA "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"stato_3" "1" NA "1" "Valgt" "Nogen svar" "0" NA "0" "pat" "no_cutpoints"
"stato_4" "0" NA "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"stato_4" "1" NA "1" "Valgt" "Gennemført" "0" NA "0" "pat" "no_cutpoints"
"stato_5" "0" NA "0" "Ikke valgt" "Ikke valgt" "0" NA "0" "pat" "no_cutpoints"
"stato_5" "1" NA "1" "Valgt" "Frafaldet" "0" NA "0" "pat" "no_cutpoints"
"t_ils_hi_score" "0" NA "0" "" "T-ILS score <7" "0" "1" "1" "pat" "no_cutpoints"
"t_ils_hi_score" "1" NA "1" "" "T-ILS score >=7" "1" "1" "1" "pat" "no_cutpoints"
"who5" "0" NA "0" "" "WHO-1 >=50" "0" "1" "1" "pat" "no_cutpoints"
"who5" "1" NA "1" "" "WHO-1 <50" "1" "1" "1" "pat" "no_cutpoints"
"hads_anxiety" "0" NA "0" "0" "HADS anxiety 0 - 7" "0" "1" "1" "pat" "cutpoints"
"hads_anxiety" "1" NA "1" "2" "HADS anxiety 8 - 10" "0" "1" "1" "pat" "cutpoints"
"hads_anxiety" "2" NA "2" "1" "HADS anxiety >=11" "1" "1" "1" "pat" "cutpoints"
"hads_depression" "0" NA "0" "0" "HADS depression 0 - 7" "0" "1" "1" "pat" "cutpoints"
"hads_depression" "1" NA "1" "2" "HADS depression 8 - 10" "0" "1" "1" "pat" "cutpoints"
"hads_depression" "2" NA "2" "1" "HADS depression >=11" "1" "1" "1" "pat" "cutpoints"
"s_10" "1" "4" "1" "Ja" "Ja" "0" NA "0" "pat" "cutpoints"
"s_10" "2" "4" "2" "Nej" "Nej" "0" NA "0" "pat" "cutpoints"
"s_10" "3" "4" "3" "Ved ikke" "Ved ikke" "0" NA "0" "pat" "cutpoints"
"s_100" "1" "22f" "1" "Ja" "Tilskud til medicin" "0" "1" "0" "pat" "cutpoints"
"s_100" "0" "22f" "2" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_100" "2" "22f" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "0" "1" "0" "pat" "cutpoints"
"s_101" "1" "22g" "1" "Ja" "Tilskud til psykolog" "0" "1" "0" "pat" "cutpoints"
"s_101" "0" "22g" "2" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_101" "2" "22g" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "0" "1" "0" "pat" "cutpoints"
"s_102" "1" "22h" "1" "Ja" "Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne" "0" "1" "0" "pat" "cutpoints"
"s_102" "0" "22h" "2" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_102" "2" "22h" "3" "Jeg har ikke ansøgt/ikke relevant" "Jeg har ikke ansøgt/ikke relevant" "0" "1" "0" "pat" "cutpoints"
"s_11" "1" "4.1" "1" "Ja, i høj grad" "Ja, i høj grad" "0" "1" "0" "pat" "cutpoints"
"s_11" "2" "4.1" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" "1" "0" "pat" "cutpoints"
"s_11" "3" "4.1" "3" "I mindre grad" "I mindre grad" "0" "1" "0" "pat" "cutpoints"
"s_11" "4" "4.1" "5" "Nej, slet ikke" "Nej, slet ikke" "0" "1" "0" "pat" "cutpoints"
"s_11" "5" "4.1" "4" "Ved ikke" "Ved ikke" "0" "1" "0" "pat" "cutpoints"
"s_11" "6" "4.1" "6" "Jeg blev ikke behandlet ambulant" "Jeg blev ikke behandlet ambulant" "0" "1" "0" "pat" "cutpoints"
"s_111" "3" "23a" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_111" "2" "23a" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_111" "1" "23a" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_111" "0" "23a" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_112" "3" "23b" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_112" "2" "23b" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_112" "1" "23b" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_112" "0" "23b" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_113" "3" "23c" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_113" "2" "23c" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_113" "1" "23c" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_113" "0" "23c" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_114" "3" "23d" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_114" "2" "23d" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_114" "1" "23d" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_114" "0" "23d" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_115" "3" "23e" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_115" "2" "23e" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_115" "1" "23e" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_115" "0" "23e" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_116" "3" "24a" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_116" "2" "24a" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_116" "1" "24a" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_116" "0" "24a" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_117" "3" "24b" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_117" "2" "24b" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_117" "1" "24b" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_117" "0" "24b" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_118" "3" "24c" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_118" "2" "24c" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_118" "1" "24c" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_118" "0" "24c" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_119" "3" "24d" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_119" "2" "24d" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_119" "1" "24d" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_119" "0" "24d" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_12" "1" "4.2" "1" "Ja, i høj grad" "Ja, i høj grad" "0" "1" "0" "pat" "cutpoints"
"s_12" "2" "4.2" "2" "Ja, i nogen grad" "Ja, i nogen grad" "0" "1" "0" "pat" "cutpoints"
"s_12" "3" "4.2" "3" "I mindre grad" "I mindre grad" "0" "1" "0" "pat" "cutpoints"
"s_12" "4" "4.2" "5" "Nej, slet ikke" "Nej, slet ikke" "0" "1" "0" "pat" "cutpoints"
"s_12" "5" "4.2" "4" "Ved ikke" "Ved ikke" "0" "1" "0" "pat" "cutpoints"
"s_120" "3" "24e" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_120" "2" "24e" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_120" "1" "24e" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_120" "0" "24e" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_121" "3" "24f" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_121" "2" "24f" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_121" "1" "24f" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_121" "0" "24f" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_122" "3" "24g" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_122" "2" "24g" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_122" "1" "24g" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_122" "0" "24g" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_123" "3" "24h" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_123" "2" "24h" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_123" "1" "24h" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_123" "0" "24h" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_124" "3" "24i" "1" "Nej" "Nej" "0" "1" "0" "pat" "cutpoints"
"s_124" "2" "24i" "2" "Lidt" "Lidt" "0" "1" "0" "pat" "cutpoints"
"s_124" "1" "24i" "3" "En del" "En del" "0" "1" "0" "pat" "cutpoints"
"s_124" "0" "24i" "4" "Meget" "Meget" "0" "1" "0" "pat" "cutpoints"
"s_125" "0" "24j" "1" "Nej" "Nej" "0" NA "0" "pat" "cutpoints"
"s_125" "1" "24j" "2" "Lidt" "Lidt" "0" NA "0" "pat" "cutpoints"
"s_126" "0" "24k" "1" "Nej" "Nej" "0" NA "0" "pat" "cutpoints"
