question,group,Questionnaire no.,value,label,group_label,display,non_strat_cutpoints,stratified
s_51,6,11,6,Ikke relevant - jeg var ikke med på sygehuset,Ikke relevant - jeg var ikke med på sygehuset,0,NA,1
s_52,0,12,1,I høj grad,I høj grad,0,NA,0
s_52,1,12,3,I mindre grad,I mindre grad / Slet ikke,1,NA,0
s_52,2,12,5,Ved ikke,Ved ikke,0,NA,0
s_52,6,12,6,Ikke relevant - jeg var ikke med på sygehuset,Ikke relevant - jeg var ikke med på sygehuset,0,NA,0
s_53,0,13,1,I meget høj grad,I meget høj grad,0,NA,0
s_53,1,13,3,I mindre grad,I mindre grad / Slet ikke,1,NA,0
s_53,2,13,5,Ved ikke,Ved ikke,0,NA,0
s_53,7,13,7,Ikke relevant - jeg var ikke med på sygehuset,Ikke relevant - jeg var ikke med på sygehuset,0,NA,0
s_54,0,14,1,I meget høj grad,I meget høj grad,0,NA,0
s_54,1,14,4,I mindre grad,I mindre grad / Slet ikke,1,NA,0
s_54,2,14,6,Ved ikke,Ved ikke,0,NA,0
s_54,7,14,7,Ikke relevant - jeg var ikke med på sygehuset,Ikke relevant - jeg var ikke med på sygehuset,0,NA,0
s_58,0,17,1,Altid/så godt som altid,Altid/så godt som altid,0,NA,0
s_58,1,17,3,Kun nogle gange,Kun nogle gange / Sjældent/aldrig,1,NA,0
s_58,2,17,5,Ved ikke/ikke relevant - fx fordi jeg ikke havde behov for støtte fra egen læge,Ved ikke/ikke relevant - fx fordi jeg ikke havde behov for støtte fra egen læge,0,NA,0
s_6,1,3c,1,Slet ikke,Slet ikke,0,NA,0
s_6,2,3c,2,Lidt,Lidt,0,NA,0
s_6,3,3c,3,En del,En del,0,NA,0
s_6,4,3c,4,Meget,Meget,0,NA,0
s_6,5,3c,5,Ikke relevant,Ikke relevant,0,NA,0
s_61,1,24a,1,Altid,Altid / Ofte,1,NA,0
s_61,0,24a,3,Sommetider,Sommetider,0,NA,0
s_62,1,24b,1,Altid,Altid / Ofte,1,NA,0
s_62,0,24b,3,Sommetider,Sommetider,0,NA,0
s_63,1,24c,1,Altid,Altid / Ofte,1,NA,0
s_63,0,24c,3,Sommetider,Sommetider,0,NA,0
s_64,1,27a,1,Hele tiden,Hele tiden,0,NA,0
s_64,2,27a,2,Det meste af tiden,Det meste af tiden,0,NA,0
s_64,3,27a,3,Lidt mere end halvdelen af tiden,Lidt mere end halvdelen af tiden,0,NA,0
s_64,4,27a,4,Lidt mindre end halvdelen af tiden,Lidt mindre end halvdelen af tiden,0,NA,0
s_64,5,27a,5,Lidt af tiden,Lidt af tiden,0,NA,0
s_64,6,27a,6,På intet tidspunkt,På intet tidspunkt,0,NA,0
s_7,1,3d,1,Slet ikke,Slet ikke,0,NA,0
s_7,2,3d,2,Lidt,Lidt,0,NA,0
s_7,3,3d,3,En del,En del,0,NA,0
s_7,4,3d,4,Meget,Meget,0,NA,0
s_7,5,3d,5,Ikke relevant,Ikke relevant,0,NA,0
s_8,1,3e,1,Slet ikke,Slet ikke,0,NA,0
s_8,2,3e,2,Lidt,Lidt,0,NA,0
s_8,3,3e,3,En del,En del,0,NA,0
s_8,4,3e,4,Meget,Meget,0,NA,0
s_8,5,3e,5,Ikke relevant,Ikke relevant,0,NA,0
s_87,3,18a,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_87,0,18a,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_87,1,18a,3,"Nej, men jeg havde behov for...",Samtaler med en psykolog,1,1,0
s_87,2,18a,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_88,3,18b,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_88,0,18b,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_88,1,18b,3,"Nej, men jeg havde behov for...",Samtalegrupper med andre pårørende,1,1,0
s_88,2,18b,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_89,3,18c,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_89,0,18c,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_89,1,18c,3,"Nej, men jeg havde behov for...",Samtaler med socialrådgiver,1,1,0
s_89,2,18c,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_9,1,3f,1,Slet ikke,Slet ikke,0,NA,0
s_9,2,3f,2,Lidt,Lidt,0,NA,0
s_9,3,3f,3,En del,En del,0,NA,0
s_9,4,3f,4,Meget,Meget,0,NA,0
s_9,5,3f,5,Ikke relevant,Ikke relevant,0,NA,0
s_90,3,18d,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_90,0,18d,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_90,1,18d,3,"Nej, men jeg havde behov for...","Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",1,1,0
s_90,2,18d,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_91,3,18e,1,"Ja, jeg blev tilbudt...","Ja, jeg blev tilbudt...",0,1,0
s_91,0,18e,2,"Ja, og jeg tog imod...","Ja, og jeg tog imod...",0,1,0
s_91,1,18e,3,"Nej, men jeg havde behov for...",Aflastning ift. praktiske opgaver,1,1,0
s_91,2,18e,5,Ved ikke/ikke relevant,Ved ikke/ikke relevant,0,1,0
s_92,1,19,1,I høj grad,I nogen grad/i høj grad,1,NA,0
s_92,0,19,3,I mindre grad,I mindre grad,0,NA,0
s_92,2,19,5,Ved ikke,Ved ikke,0,NA,0
s_95,1,26a,1,Sjældent,Sjældent,0,NA,0
s_95,2,26a,2,En gang imellem,En gang imellem,0,NA,0
s_95,3,26a,3,Ofte,Ofte,0,NA,0
s_96,1,26b,1,Sjældent,Sjældent,0,NA,0
s_96,2,26b,2,En gang imellem,En gang imellem,0,NA,0
s_96,3,26b,3,Ofte,Ofte,0,NA,0
s_97,1,26c,1,Sjældent,Sjældent,0,NA,0
s_97,2,26c,2,En gang imellem,En gang imellem,0,NA,0
s_97,3,26c,3,Ofte,Ofte,0,NA,0
stato_1,0,NA,0,Ikke valgt,Ikke valgt,0,NA,0
stato_1,1,NA,1,Valgt,Ny,0,NA,0
stato_2,0,NA,0,Ikke valgt,Ikke valgt,0,NA,0
stato_2,1,NA,1,Valgt,Distribueret,0,NA,0
stato_3,0,NA,0,Ikke valgt,Ikke valgt,0,NA,0
stato_3,1,NA,1,Valgt,Nogen svar,0,NA,0
stato_4,0,NA,0,Ikke valgt,Ikke valgt,0,NA,0
stato_4,1,NA,1,Valgt,Gennemført,0,NA,0
stato_5,0,NA,0,Ikke valgt,Ikke valgt,0,NA,0
stato_5,1,NA,1,Valgt,Frafaldet,0,NA,0
t_ils_hi_score,0,NA,0,,T-ILS score <7,0,1,1
t_ils_hi_score,1,NA,1,,T-ILS score >=7,1,1,1
who5,0,NA,0,,WHO-1 >=50,0,1,1
who5,1,NA,1,,WHO-1 <50,1,1,1
