Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",Slet ikke,1,I mindre grad / Slet ikke
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",Ved ikke,2,
"13. Brugte sundhedspersonalet på sygehusene et sprog, som var til at forstå (ikke fagsprog, men forståeligt dansk)?",Ikke relevant - jeg var ikke med på sygehuset,,
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,I meget høj grad,0,
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,I høj grad,0,
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,I nogen grad,0,
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,I mindre grad,1,I mindre grad / Slet ikke
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,Slet ikke,1,I mindre grad / Slet ikke
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,Ved ikke,2,
14. Opfordrede sundhedspersonalet dig til at stille spørgsmål eller tale om bekymringer?,Ikke relevant - jeg var ikke med på sygehuset,,
"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",Altid/så godt som altid,0,
"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",For det meste,0,
"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",Kun nogle gange,1,Kun nogle gange / Sjældent/aldrig
"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",Sjældent/aldrig,1,Kun nogle gange / Sjældent/aldrig
"15. Udviste sundhedspersonalet interesse for, hvordan du havde det? ",Ved ikke/ikke relevant,2,
"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",Altid/så godt som altid,0,
"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",For det meste,0,
"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",Kun nogle gange,1,Kun nogle gange / Sjældent/aldrig
"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",Sjældent/aldrig,1,Kun nogle gange / Sjældent/aldrig
"16. Inddrog sundhedspersonalet dig i den hjertesyges sygdom/behandling/pleje på den måde, du ønskede at blive inddraget?",Ved ikke/ikke relevant,2,
"16.1 Hvis ikke du blev inddraget, som du ønskede, var det da mere eller mindre, end du havde lyst til?",Mere end jeg havde lyst til,,
"16.1 Hvis ikke du blev inddraget, som du ønskede, var det da mere eller mindre, end du havde lyst til?",Mindre end jeg havde lyst til,,
"17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",Altid/så godt som altid,0,
"17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",For det meste,0,
"17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",Kun nogle gange,1,Kun nogle gange / Sjældent/aldrig
"17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",Sjældent/aldrig,1,Kun nogle gange / Sjældent/aldrig
"17. Fik du som pårørende tilstrækkelig støtte fra din egen og/eller den hjertesyges praktiserende læge? Med støtte menes både information, rådgivning og behandling.",Ved ikke/ikke relevant - fx fordi jeg ikke havde behov for støtte fra egen læge,2,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,"Ja, jeg blev tilbudt...",3,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,"Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,"Nej, men jeg havde behov for...",1,Blev ikke tilbudt: Samtaler med en psykolog
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,"Nej, og jeg havde ikke behov for...",1,Blev ikke tilbudt: Samtaler med en psykolog
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med en psykolog,Ved ikke/ikke relevant,2,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,"Ja, jeg blev tilbudt...",3,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,"Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,"Nej, men jeg havde behov for...",1,Blev ikke tilbudt: Samtalegrupper med andre pårørende
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,"Nej, og jeg havde ikke behov for...",1,Blev ikke tilbudt: Samtalegrupper med andre pårørende
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtalegrupper med andre pårørende,Ved ikke/ikke relevant,2,
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)","Ja, jeg blev tilbudt...",3,
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)","Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)","Nej, men jeg havde behov for...",1,Blev ikke tilbudt: Samtaler med socialrådgiver
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)","Nej, og jeg havde ikke behov for...",1,Blev ikke tilbudt: Samtaler med socialrådgiver
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Samtaler med socialrådgiver (om dine muligheder, rettigheder som pårørende ift. arbejdsmarked, støtte, indsigt m.m.)",Ved ikke/ikke relevant,2,
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.","Ja, jeg blev tilbudt...",3,
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.","Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.","Nej, men jeg havde behov for...",1,"Blev ikke tilbudt: Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m."
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.","Nej, og jeg havde ikke behov for...",1,"Blev ikke tilbudt: Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m."
"18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Ved ikke/ikke relevant,2,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,"Ja, jeg blev tilbudt...",3,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,"Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,"Nej, men jeg havde behov for...",1,Blev ikke tilbudt: Aflastning ift. praktiske opgaver
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,"Nej, og jeg havde ikke behov for...",1,Blev ikke tilbudt: Aflastning ift. praktiske opgaver
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Aflastning ift. praktiske opgaver,Ved ikke/ikke relevant,2,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,"Ja, jeg blev tilbudt...",3,
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,"Ja, og jeg tog imod...",0,"Ja, og jeg tog imod..."
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,"Nej, men jeg havde behov for...",1,Blev ikke tilbudt: Individuel samtale med anden pårørende
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,"Nej, og jeg havde ikke behov for...",1,Blev ikke tilbudt: Individuel samtale med anden pårørende
18. Blev du i forbindelse med den hjertesyges hjertesygdom tilbudt følgende? Sæt ét kryds i hver linje - Individuel samtale med anden pårørende,Ved ikke/ikke relevant,2,
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,Særdeles god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,Overvejende god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,Hverken god eller dårlig,1,Dårlig kvalitet: Samtaler med en psykolog
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,Særdeles dårlig,1,Dårlig kvalitet: Samtaler med en psykolog
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med en psykolog,Ved ikke,3,
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,Særdeles god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,Overvejende god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,Hverken god eller dårlig,1,Dårlig kvalitet: Samtalegrupper med andre pårørende
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,Særdeles dårlig,1,Dårlig kvalitet: Samtalegrupper med andre pårørende
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtalegrupper med andre pårørende,Ved ikke,3,
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",Særdeles god,0,Særdeles god / Overvejende god
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",Overvejende god,0,Særdeles god / Overvejende god
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",Hverken god eller dårlig,1,Dårlig kvalitet: Samtaler med socialrådgiver
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",Særdeles dårlig,1,Dårlig kvalitet: Samtaler med socialrådgiver
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Samtaler med socialrådgiver (om dine muligheder og rettigheder som pårørende ift. arbejdsmarked, støtte og indsigt m.m.)",Ved ikke,3,
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Særdeles god,0,Særdeles god / Overvejende god
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Overvejende god,0,Særdeles god / Overvejende god
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Hverken god eller dårlig,1,"Dårlig kvalitet: Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m."
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Særdeles dårlig,1,"Dårlig kvalitet: Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m."
"18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Rådgivning eller kurser om kost, motion, medicin, sygdommen, rollen som pårørende, sex og samliv, psykiske reaktioner m.m.",Ved ikke,3,
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,Særdeles god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,Overvejende god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,Hverken god eller dårlig,1, Dårlig kvalitet: Aflastning ift. praktiske opgaver
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,Særdeles dårlig,1, Dårlig kvalitet: Aflastning ift. praktiske opgaver
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Aflastning ift. praktiske opgaver,Ved ikke,3,
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,Særdeles god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,Overvejende god,0,Særdeles god / Overvejende god
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,Hverken god eller dårlig,1,Dårlig kvalitet:  Individuel samtale med andre pårørende
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,Særdeles dårlig,1,Dårlig kvalitet:  Individuel samtale med andre pårørende
18.1 Hvordan vil du vurdere kvaliteten af tilbuddene? - Individuel samtale med andre pårørende,Ved ikke,3,
"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",I høj grad,1,I nogen grad/i høj grad
"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",I nogen grad,1,I nogen grad/i høj grad
"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",I mindre grad,0,
"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",Slet ikke,0,
"19. Savnede du information om, hvor du som pårørende kunne få hjælp og støtte? ",Ved ikke,2,
"20. Var du i arbejde, da den hjertesyge blev syg? Arbejde inkluderer her også deltidsarbejde, fleksjob eller barsel.",Ja,,
"20. Var du i arbejde, da den hjertesyge blev syg? Arbejde inkluderer her også deltidsarbejde, fleksjob eller barsel.",Nej,,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg er blevet fyret",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg har måttet stoppe med at arbejde i en periode",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg er holdt op med at arbejde",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg har skiftet arbejde/karrierevej",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg har fået færre arbejdstimer om ugen",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Ja, jeg har fået andre andre arbejdsopgaver end tidligere. ",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,"Nej, min arbejdssituation er den samme",,
20.1 Har din arbejdssituation ændret sig som følge af din rolle som pårørende til den hjertesyge? Sæt ét eller flere kryds,Andet,,
"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",Altid/så godt som altid,0,
"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",For det meste,0,
"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",Kun nogle gange,1,Kun nogle gange / Sjældent/aldrig
"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",Sjældent/aldrig,1,Kun nogle gange / Sjældent/aldrig
"20.2 Kunne du få fri, orlov eller lignende i det omfang, det har været nødvendigt? Fx til at deltage i samtaler/undersøgelser/behandling på sygehuset, hos egen læge eller i kommunen.",Ved ikke/ikke relevant,2,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Jeg brugte opsparede feriedage eller feriefridage,,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Jeg arbejdede mere på andre tidspunkter eller brugte opsparet afspadsering,,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Jeg holdt fri/orlov med fuld løn,,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Jeg holdt fri/orlov med lønnedgang,,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Jeg byttede vagt med en anden,,
20.2.1 Hvad gjorde det muligt for dig at få fri? Sæt ét eller flere krydser,Andet - skriv venligst:,,
20.3 Har du på noget tidspunkt måttet sygemelde dig på grund af din rolle som pårørende til en hjertesyg?,"Nej, aldrig",0,
20.3 Har du på noget tidspunkt måttet sygemelde dig på grund af din rolle som pårørende til en hjertesyg?,"Ja, én enkelt gang",1,"Ja, én enkelt gang / flere gange / jeg har været langtidssygemeldt (mere end 30 dage)"
20.3 Har du på noget tidspunkt måttet sygemelde dig på grund af din rolle som pårørende til en hjertesyg?,"Ja, flere gange",1,"Ja, én enkelt gang / flere gange / jeg har været langtidssygemeldt (mere end 30 dage)"
20.3 Har du på noget tidspunkt måttet sygemelde dig på grund af din rolle som pårørende til en hjertesyg?,"Ja, jeg har været langtidssygemeldt (mere end 30 dage)",1,"Ja, én enkelt gang / flere gange / jeg har været langtidssygemeldt (mere end 30 dage)"
"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",I høj grad,1,I nogen grad/i høj grad
"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",I nogen grad,1,I nogen grad/i høj grad
"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",I mindre grad,0,
"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",Slet ikke,0,
"20.4 Gjorde hjertesygdommen, at du måtte forsømme arbejdet så meget, at det gav dig problemer på arbejdspladsen? Her tænkes på problemer, som både kan skyldes manglende fysisk og psykisk tilstedeværelse.",Ved ikke,2,
"21. Hvis du ikke allerede er gået ned i arbejdstid eller har forladt arbejdsmarkedet, har du så overvejet at gøre det på grund af din rolle som pårørende til en hjertesyg?",Ja,1,
"21. Hvis du ikke allerede er gået ned i arbejdstid eller har forladt arbejdsmarkedet, har du så overvejet at gøre det på grund af din rolle som pårørende til en hjertesyg?",Nej,0,
"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",I høj grad,1,I nogen grad/i høj grad
"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",I nogen grad,1,I nogen grad/i høj grad
"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",I mindre grad,0,
"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",Slet ikke,0,
"22. Oplevede du negative økonomiske konsekvenser af at være pårørende til en hjertesyg? Her tænkes fx på lønnedgang og udgifter relateret til fx medicin, indkøb, transport og lignende.",Ved ikke/ikke relevant,2,
"23. Hvordan synes du, dit helbred er alt i alt?",Fremragende,0,
"23. Hvordan synes du, dit helbred er alt i alt?",Vældig godt,0,
"23. Hvordan synes du, dit helbred er alt i alt?",Godt,0,
"23. Hvordan synes du, dit helbred er alt i alt?",Mindre godt,1,Mindre godt / Dårligt
"23. Hvordan synes du, dit helbred er alt i alt?",Dårligt,1,Mindre godt / Dårligt
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Altid,1,Altid / Ofte
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Ofte,1,Altid / Ofte
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Sommetider,0,
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Sjældent,0,
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Er du vågnet flere gange og har haft svært ved at falde i søvn igen?,Aldrig,0,
"24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",Altid,1,Altid / Ofte
"24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",Ofte,1,Altid / Ofte
"24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",Sommetider,0,
"24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",Sjældent,0,
"24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt, at du ikke var udhvilet, når du vågende?",Aldrig,0,
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,Altid,1,Altid / Ofte
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,Ofte,1,Altid / Ofte
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,Sommetider,0,
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,Sjældent,0,
24. Hvor ofte inden for de seneste fire uger... Sæt ét kryds i hver linje - Har du følt dit træt i løbet af dagen?,Aldrig,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,I høj grad,1,Bekymret for: Om den hjertesyge får/fik den rette behandling
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,I nogen grad,1,Bekymret for: Om den hjertesyge får/fik den rette behandling
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge får/fik den rette behandling,Ved ikke/ikke relevant,2,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,I høj grad,1,Bekymret for: Om hjertesygdommen forværres
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,I nogen grad,1,Bekymret for: Om hjertesygdommen forværres
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,I mindre grad,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,Slet ikke,0,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om hjertesygdommen forværres,Ved ikke/ikke relevant,2,
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,I høj grad,1,Bekymret for: Om den hjertesyge bekymrer sig
25. Er du i forbindelse med den hjertesyges sygdom bekymret for følgende? Sæt ét kryds i hver linje - Om den hjertesyge bekymrer sig,I nogen grad,1,Bekymret for: Om den hjertesyge bekymrer sig
