"questionName" "variableName" "questionType" "subType" "questionText" "choiceValue" "choiceText" "include_database" "include_report" "stratified" "short_name" "Sidsel" "question_group" "converted_binary" "question_name_short" "question_number" "question_integer" "sort_order" "person_type"
"s_45" "s_45" "Closed" "Single" "17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?" NA "" "1" "0" "0" "" "0" "" NA "Tid til start af fysisk træning" "17.3" "17" 94 "pat"
"s_47" "s_47" "Closed" "Single" "18. Røg du, da du fik din hjertesygdom?" NA "" "1" "1" "0" "" "0" "" NA "Ryger ved diagnosetidspunkt" "18." "18" 95 "pat"
"s_203" "s_203" "Closed" "Single" "18.1 Er du bekendt med, at der er markant større chance for at blive røgfri ved hjælp af rådgivning og rygestopmedicin?" NA "" "1" "1" "0" "" "0" "" NA "Ikke bekendt med effekt af rygestoptilbud" "18.1" "18" 96 "pat"
"s_241" "s_241" "Closed" "Single" "18.2 Blev du af personale på sygehus, hos egen læge eller i kommunen anbefalet at få rådgivning om rygestop i kommunen?" NA "" "1" "1" "0" "" "0" "" NA "Ikke anbefalet rygestoptilbud" "18.2" "18" 97 "pat"
"s_49" "s_49" "Closed" "Single" "19. Manglede du hjælp og støtte til at håndtere svære følelser, bekymringer eller følelsesmæssige problemer med din hjertesygdom?" NA "" "1" "1" "1" "" "0" "" NA "Manglede hjælp til svære følelser" "19." "19" 98 "pat"
"s_205" "s_205" "Closed" "Single" "20. Var du i arbejde, da du fik din hjertesygdom i 2018? Arbejde inkluderer her også deltidsarbejde, fleksjob, barsel m.v." NA "" "1" "0" "0" "" "1" "" NA "I arbejde" "20." "20" 99 "pat"
"s_81" "s_81_1" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "2" "Ja, jeg blev fyret" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 100 "pat"
"s_81" "s_81_2" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "12" "Ja, jeg har måttet stoppe med at arbejde i en periode" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 101 "pat"
"s_81" "s_81_3" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "4" "Ja, jeg er holdt op med at arbejde pga. min hjertesygdom" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 102 "pat"
"s_81" "s_81_4" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "5" "Ja, jeg har skiftet arbejde/karrierevej" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 103 "pat"
"s_81" "s_81_5" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "13" "Ja, jeg har valgt at gå ned i tid" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 104 "pat"
"s_81" "s_81_6" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "14" "Ja, jeg er kommet i fleksjob" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 105 "pat"
"s_81" "s_81_7" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "7" "Ja, den fysiske indretning af arbejdspladsen er blevet ændret/jeg har fået hjælpemidler" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 106 "pat"
"s_81" "s_81_8" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "8" "Ja, jeg har fået andre arbejdsopgaver end tidligere" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 107 "pat"
"s_81" "s_81_9" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "15" "Jeg er holdt op med at arbejde, men ikke pga. min hjertesygdom" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 108 "pat"
"s_81" "s_81_10" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "9" "Nej, min arbejdssituation er den samme" "1" "1" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 109 "pat"
"s_81" "s_81_11" "Closed" "Multiple" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser" "10" "Andet ? skriv venligst" "1" "0" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 110 "pat"
"s_75" "s_75" "Open" "String" "20.1 Har din arbejdssituation ændret sig som følge af din hjertesygdom? Sæt gerne flere krydser - Andet ? skriv venligst" NA "" "1" "0" "0" "" "1" "" NA "Ændret arbejdssituation" "20.1" "20" 111 "pat"
"s_206" "s_206" "Closed" "Single" "20.2 Har du været sygemeldt som følge af din hjertesygdom?" NA "" "1" "0" "0" "" "1" "" NA "Sygemeldt pga. hjertesygdom" "20.2" "20" 112 "pat"
"s_242" "s_242" "Closed" "Single" "20.2.1 Da du vendte tilbage i arbejde efter sygemeldingen, følte du dig da klar til det?" NA "" "1" "0" "0" "" "1" "" NA "Ikke klar til arbejde" "20.2.1" "20" 113 "pat"
"s_84" "s_84_1" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "1" "For at komme tilbage til den hverdag jeg havde, før jeg blev syg" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 114 "pat"
"s_84" "s_84_2" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "2" "Jeg følte mig fysisk klar til at vende tilbage til arbejdet" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 115 "pat"
"s_84" "s_84_3" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "3" "Jeg følte mig psykisk klar til at vende tilbage til arbejdet" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 116 "pat"
"s_84" "s_84_4" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "4" "Jeg havde behov for at føle, at jeg kunne bidrage og være til nytte" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 117 "pat"
"s_84" "s_84_5" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "5" "For at få tankerne væk fra min hjertesygdom" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 118 "pat"
"s_84" "s_84_6" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "6" "Jeg var bange for at miste mit arbejde" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 119 "pat"
"s_84" "s_84_7" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "7" "Jeg følte, at jeg var nødt til det" "1" "1" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 120 "pat"
"s_84" "s_84_8" "Closed" "Multiple" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds" "8" "Andet - skriv gerne:" "1" "0" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 121 "pat"
"s_261" "s_261" "Open" "String" "20.2.2 Hvad var grunden(e) til, at du vendte tilbage til arbejdet på det tidspunkt, du gjorde? Sæt gerne flere kryds - Andet - skriv gerne:" NA "" "1" "0" "0" "" "1" "" NA "Årsager til tilbagevenden" "20.2.2" "20" 122 "pat"
"s_85" "s_85_1" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "1" "Ja, jeg har følt mig presset af jobcenteret (kommunen)" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 123 "pat"
"s_85" "s_85_2" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "2" "Ja, jeg har følt mig presset af min arbejdsgiver" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 124 "pat"
"s_85" "s_85_3" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "3" "Ja, jeg har følt mig presset af mine kolleger" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 125 "pat"
"s_85" "s_85_4" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "4" "Ja, jeg har følt mig presset af mine pårørende" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 126 "pat"
"s_85" "s_85_5" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "5" "Ja, jeg har følt mig presset af økonomiske årsager" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 127 "pat"
"s_85" "s_85_6" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "7" "Ja, jeg har følt mig presset af andre årsager, skriv gerne:" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 128 "pat"
"s_85" "s_85_7" "Closed" "Multiple" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser" "8" "Nej, jeg har ikke følt mig presset" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 129 "pat"
"s_80" "s_80" "Open" "String" "20.2.3 Har du følt dig presset til at vende tilbage til arbejde efter sygemelding? Sæt gerne flere krydser - Ja, jeg har følt mig presset af andre årsager, skriv gerne:" NA "" "1" "0" "0" "" "1" "" NA "Presset tilbage" "20.2.3" "20" 130 "pat"
"s_87" "s_87" "Closed" "Single" "20.2.4 Har du i forbindelse med at vende tilbage til arbejdet haft brug for professionel rådgivning, fx fra en socialrådgiver, fagforening, jobkonsulent e.l.? " NA "" "1" "0" "0" "" "1" "" NA "Manglet professionel rådgivning" "20.2.4" "20" 131 "pat"
"s_89" "s_89" "Closed" "Single" "20.2.5 Har din arbejdsgiver gjort noget for at hjælpe dig med at bevare din tilknytning til arbejdspladsen?" NA "" "1" "1" "1" "" "1" "" NA "Ingen indsats for bevaring af arbejdspladstilknytning" "20.2.5" "20" 132 "pat"
"s_94" "s_94" "Closed" "Single" "21. Har økonomien i din husstand ændret sig som følge af din hjertesygdom?" NA "" "1" "1" "0" "" "0" "" NA "Ændret økonomi pga. hjertesygdom" "21." "21" 133 "pat"
"s_95" "s_95" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Sygedagpenge" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 134 "pat"
"s_95" "s_96" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Fleksjob" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 135 "pat"
"s_95" "s_97" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Førtidspension" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 136 "pat"
"s_95" "s_98" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjælpemidler" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 137 "pat"
"s_95" "s_99" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Hjemmehjælp" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 138 "pat"
"s_95" "s_100" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til medicin" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 139 "pat"
"s_95" "s_101" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Tilskud til psykolog" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 140 "pat"
"s_95" "s_102" "Closed" "Single" "22. Har du i forbindelse med din hjertesygdom oplevet problemer med at få tildelt følgende ydelser? Sæt ét kryds i hver linje - Ansøgning om merudgifter på grund af nedsat fysisk/psykisk funktionsevne" NA "" "1" "0" "0" "" "0" "s_95" "1" "Problemer med ydelser" "22." "22" 141 "pat"
"s_207" "s_207" "Closed" "Single" "22.1 Har du i forbindelse med ansøgning om én eller flere af førnævnte ydelser haft brug for professionel rådgivning f.eks. fra en socialrådgiver, din praktiserende læge eller patientforening?" NA "" "1" "0" "0" "" "0" "" NA "Rådgivning til ansøgning om ydelser" "22.1" "22" 142 "pat"
"s_111" "s_111" "Closed" "Single" "23. Har det inden for de seneste fire uger voldt dig problemer at? Sæt ét kryds i hver linje  - Gå indendørs på jævnt underlag" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "23." "23" 143 "pat"
"s_112" "s_112" "Closed" "Single" "23. Har det inden for de seneste fire uger voldt dig problemer at? Sæt ét kryds i hver linje  - Udføre havearbejde, støvsuge eller bære indkøbsposer" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "23." "23" 144 "pat"
"s_113" "s_113" "Closed" "Single" "23. Har det inden for de seneste fire uger voldt dig problemer at? Sæt ét kryds i hver linje  - Gå op ad en bakke eller trappe uden at stoppe" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "23." "23" 145 "pat"
"s_114" "s_114" "Closed" "Single" "23. Har det inden for de seneste fire uger voldt dig problemer at? Sæt ét kryds i hver linje  - Gå mere end 100 meter i raskt tempo" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "23." "23" 146 "pat"
"s_115" "s_115" "Closed" "Single" "23. Har det inden for de seneste fire uger voldt dig problemer at? Sæt ét kryds i hver linje  - Løfte eller flytte tunge genstande" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "23." "23" 147 "pat"
"s_116" "s_116" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig stakåndet (åndenød)" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 148 "pat"
"s_117" "s_117" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig fysisk begrænset" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 149 "pat"
"s_118" "s_118" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig træt, udmattet, med nedsat energi" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 150 "pat"
"s_119" "s_119" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig anspændt" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 151 "pat"
"s_120" "s_120" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig nedtrykt" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 152 "pat"
"s_121" "s_121" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig frustreret" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 153 "pat"
"s_122" "s_122" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Følt dig bekymret" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 154 "pat"
"s_123" "s_123" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Været begrænset i at udøve sport eller motion" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 155 "pat"
"s_124" "s_124" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Været begrænset i at udføre arbejde i huset eller i haven" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 156 "pat"
"s_125" "s_125" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Haft hjertebanken" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 157 "pat"
"s_126" "s_126" "Closed" "Single" "24. Har du haft følgende problemer inden for de seneste fire uger? Sæt ét kryds i hver linje  - Haft brystsmerter" NA "" "0" "0" "0" "" "0" "" NA "Helbredsrelateret livskvalitet" "24." "24" 158 "pat"
"s_262" "s_26_1" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "1" "Calcium" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 159 "pat"
"s_262" "s_26_2" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "2" "D-vitamin" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 160 "pat"
"s_262" "s_26_3" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "3" "E-vitamin" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 161 "pat"
"s_262" "s_26_4" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "4" "Efedrin" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 162 "pat"
"s_262" "s_26_5" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "5" "Fibertilskud f.eks. HUSK/loppefrøskaller" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 163 "pat"
"s_262" "s_26_6" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "6" "Fiskeolie" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 164 "pat"
"s_262" "s_26_7" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "7" "Ginkgo biloba" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 165 "pat"
"s_262" "s_26_8" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "8" "Ginseng" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 166 "pat"
"s_262" "s_26_9" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "9" "Hvidløg" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 167 "pat"
"s_262" "s_26_10" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "10" "Hvidtjørn" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 168 "pat"
"s_262" "s_26_11" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "11" "Ingefær" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 169 "pat"
"s_262" "s_26_12" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "12" "Jern" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 170 "pat"
"s_262" "s_26_13" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "13" "K-vitamin" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 171 "pat"
"s_262" "s_26_14" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "14" "L-carnitin" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 172 "pat"
"s_262" "s_26_15" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "15" "Magnesium" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 173 "pat"
"s_262" "s_26_16" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "16" "Multivitaminer" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 174 "pat"
"s_262" "s_26_17" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "17" "Perikon/perikum/St. Johns Wort" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 175 "pat"
"s_262" "s_26_18" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "18" "Q10" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 176 "pat"
"s_262" "s_26_19" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "19" "Røde gærris" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 177 "pat"
"s_262" "s_26_20" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "20" "Andet - skriv venligst:" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 178 "pat"
"s_262" "s_26_21" "Closed" "Multiple" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'." "21" "Jeg tager ingen af ovenstående produkter" "1" "1" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 179 "pat"
"s_265" "s_265" "Open" "String" "25. Tager du nogen af følgende former for kosttilskud eller naturlægemidler? Sæt kryds ved det/de produkt(er), du tager. Hvis du ingen tager, sæt da kryds ved 'Nej, jeg tager ingen af ovenstående produkter'. - Andet - skriv venligst:" NA "" "1" "0" "0" "" "0" "" NA "Tager kosttilskud og/eller naturlægemidler" "25." "25" 180 "pat"
"s_263" "s_263_1" "Closed" "Multiple" "25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds" "1" "For min sundhed - fx fordi jeg gerne vil undgå, at sygdommen udvikler sig" "1" "1" "0" "" "0" "" NA "Årsager til at tage kosttilskud/naturlægemidler" "25.1" "25" 181 "pat"
"s_263" "s_263_2" "Closed" "Multiple" "25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds" "2" "For at få mindre lægeordineret medicin" "1" "1" "0" "" "0" "" NA "Årsager til at tage kosttilskud/naturlægemidler" "25.1" "25" 182 "pat"
"s_263" "s_263_3" "Closed" "Multiple" "25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds" "3" "Som supplement til den øvrige behandling" "1" "1" "0" "" "0" "" NA "Årsager til at tage kosttilskud/naturlægemidler" "25.1" "25" 183 "pat"
"s_263" "s_263_4" "Closed" "Multiple" "25.1 Jeg tager produkterne af følgende årsager... Sæt gerne flere kryds" "4" "Som behandling/lindring af anden sygdom" "1" "1" "0" "" "0" "" NA "Årsager til at tage kosttilskud/naturlægemidler" "25.1" "25" 184 "pat"
