Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Hvad du kan holde til rent fysisk",Ved ikke,2,
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"14. Følte du dig informeret om følgende, uden at du selv skulle opsøge/finde informationen? (fortsat) Sæt ét kryds i hver linje - Mulige årsager til din hjertesygdom",Ved ikke,2,
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ","Ja, i høj grad",0,I nogen grad/i høj grad
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ","Ja, i nogen grad",0,I nogen grad/i høj grad
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ",I mindre grad,1,I mindre grad/slet ikke
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ","Nej, slet ikke",1,I mindre grad/slet ikke
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ",Ved ikke,2,
"15. Havde du pårørende, som du kunne regne med ville hjælpe dig, hvis du havde behov for det? Det kan f.eks. være til følelsesmæssig støtte, praktisk hjælp eller til at holde styr på aftaler på sygehuset. ",Jeg har ingen pårørende,,
15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,"Ja, i høj grad",0,I nogen grad/i høj grad
15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,"Ja, i nogen grad",0,I nogen grad/i høj grad
15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,I mindre grad,1,I mindre grad/slet ikke
15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,"Nej, slet ikke",1,I mindre grad/slet ikke
15.1 Gjorde personalet dig opmærksom på muligheden for at have din(e) pårørende med til samtaler?,Ved ikke,2,
15.2 Havde du pårørende med til samtaler eller behandling på sygehuset?,Ja,0,
15.2 Havde du pårørende med til samtaler eller behandling på sygehuset?,Nej,1,
"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.","Ja, i høj grad",0,I nogen grad/i høj grad
"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.","Ja, i nogen grad",0,I nogen grad/i høj grad
"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.",I mindre grad,1,I mindre grad/slet ikke
"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.","Nej, slet ikke",1,I mindre grad/slet ikke
"15.2.1 Inddrog personalet din(e) pårørende, som du ønskede det? Her skelnes ikke mellem, om det var for lidt, for meget eller måden, de blev inddraget på.",Ved ikke,2,
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?","Ja, i høj grad",0,I nogen grad/i høj grad
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?","Ja, i nogen grad",0,I nogen grad/i høj grad
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?",I mindre grad,1,I mindre grad/slet ikke
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?","Nej, slet ikke",1,I mindre grad/slet ikke
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?",Ved ikke,2,
"16. Følte du dig tryg ved den medicinske behandling, du fik for din hjertesygdom?",Jeg har ikke været i medicinsk behandling for min hjertesygdom,,
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvorfor du fik/får medicin for din hjertesygdom",Ved ikke,2,
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Mulige bivirkninger af medicin for din hjertesygdom",Ved ikke,2,
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom","Ja, i høj grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom","Ja, i nogen grad",0,I nogen grad/i høj grad
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom",I mindre grad,1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom","Nej, slet ikke",1,I mindre grad/slet ikke
"16.1 Blev du informeret om følgende, da du første gang fik medicinen ordineret? - Hvor lang tid du skal/skulle tage medicin for din hjertesygdom",Ved ikke,2,
"16.2 Oplevede du bivirkninger af den medicin, du fik for din hjertesygdom?",Ja,1,
"16.2 Oplevede du bivirkninger af den medicin, du fik for din hjertesygdom?",Nej,0,
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?","Ja, i høj grad",0,I nogen grad/i høj grad
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?","Ja, i nogen grad",0,I nogen grad/i høj grad
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?",I mindre grad,1,I mindre grad/slet ikke
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?","Nej, slet ikke",1,I mindre grad/slet ikke
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?",Ved ikke,2,
"16.2.1 Blev du taget alvorligt, da du henvendte dig til en læge på grund af bivirkninger?",Jeg har ikke henvendt mig til en læge på grund af bivirkninger,,
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning",Nej,1, Fik ikke tilbudt fysisk træning
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Fysisk træning",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost",Nej,1,Fik ikke tilbudt rådgivning om kost
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om kost",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)",Nej,1,Fik ikke tilbudt psykisk støtte
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling",Nej,1,Fik ikke tilbudt undervisning i sygdom
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv",Nej,1,Fik ikke tilbudt rådgivning om sex og samliv
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om sex og samliv",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin",Nej,1,Fik ikke tilbudt individuel samtale om medicin
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Individuel samtale om medicin",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.",Nej,1,Fik ikke tilbudt rådgivning om arbejdsmarkedstilknytning
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen","Ja, og jeg tog imod tilbuddet",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen","Ja, jeg tog imod tilbuddet, men sprang fra",0,"Ja, fik tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen","Ja, men jeg tog ikke imod tilbuddet",3,"Ja, men jeg tog ikke imod tilbuddet"
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen",Nej,1,Fik ikke tilbudt undervisning i de psykiske reaktioner på sygdommen
"17. Fik du i forbindelse med din hjertesygdom følgende tilbud fra sygehuset, hos din praktiserende læge eller i din kommune? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen",Ved ikke/ikke relevant,2,Ved ikke/ikke relevant
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,Hverken god eller dårlig,1,Dårlig kvalitet: Fysisk træning
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,Særdeles dårlig,1,Dårlig kvalitet: Fysisk træning
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Fysisk træning?,Ved ikke,2,
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,Hverken god eller dårlig,1,Dårlig kvalitet: Rådgivning om kost
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,Særdeles dårlig,1,Dårlig kvalitet: Rådgivning om kost
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om kost?,Ved ikke,2,
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",Særdeles god,0,Særdeles god/Overvejende god
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",Overvejende god,0,Særdeles god/Overvejende god
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",Hverken god eller dårlig,1,Dårlig kvalitet: Psykisk støtte
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",Særdeles dårlig,1,Dårlig kvalitet: Psykisk støtte
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Psykisk støtte (f.eks. terapeutforløb, mindfulness, henvisning til psykolog m.m.)?",Ved ikke,2,
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,Hverken god eller dårlig,1,Dårlig kvalitet: Undervisning i din sygdom
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,Særdeles dårlig,1,Dårlig kvalitet: Undervisning i din sygdom
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i din sygdom og dens behandling?,Ved ikke,2,
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,Hverken god eller dårlig,1,Dårlig kvalitet: Rådgivning om sex og samliv
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,Særdeles dårlig,1,Dårlig kvalitet: Rådgivning om sex og samliv
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om sex og samliv?,Ved ikke,2,
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,Hverken god eller dårlig,1,Dårlig kvalitet: Individuel samtale om medicin
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,Særdeles dårlig,1,Dårlig kvalitet: Individuel samtale om medicin
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Individuel samtale om medicin?,Ved ikke,2,
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",Særdeles god,0,Særdeles god/Overvejende god
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",Overvejende god,0,Særdeles god/Overvejende god
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",Hverken god eller dårlig,1,Dårlig kvalitet: Rådgivning om arbejdsmarkedstilknytning
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",Særdeles dårlig,1,Dårlig kvalitet: Rådgivning om arbejdsmarkedstilknytning
"17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Rådgivning om arbejdsmarkedstilknytning, beskæftigelse m.m.?",Ved ikke,2,
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,Særdeles god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,Overvejende god,0,Særdeles god/Overvejende god
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,Hverken god eller dårlig,1,Dårlig kvalitet: Undervisning i de psykiske reaktioner på sygdommen
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,Særdeles dårlig,1,Dårlig kvalitet: Undervisning i de psykiske reaktioner på sygdommen
17.1 Hvordan vil du vurdere kvaliteten af tilbuddene? Sæt ét kryds i hver linje - Undervisning i de psykiske reaktioner på sygdommen?,Ved ikke,2,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Jeg havde ikke behov for det,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Jeg havde ikke lyst,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Jeg ville hellere selv finde en måde at komme mig på,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Tidspunktet på dagen passede mig ikke,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",På grund af transport og/eller økonomi,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds","På grund af barrierer i forhold til sprog, religion/kultur o.l.",,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Andre årsager - skriv venligst,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds",Ikke relevant,,
"17.2 Hvis der var tilbud, som du ikke tog imod, hvorfor? Sæt gerne flere kryds - Andre årsager - skriv venligst",,,
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",0-2 uger,,
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",3-5 uger,,
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",6-8 uger,,
"17.3 Hvis du modtog fysisk træning, hvor mange uger gik der cirka, fra du blev henvist, til du startede træningen?",9 eller flere uger,,
